13/12/2018 0.27.51,Facoltà di Architettura a Roma Tre ,No,Più si che no,Si,"Il bene collettivo nel superare gli esami, aiutandoci a vicenda tutti",Si,Chat,Si,Pc,"Una comunicazione con altri studenti che non si conoscono, finalizzata all’ottenimento di un unico obiettivo: superare l’esame in questione ",,
13/12/2018 0.37.41,Ingegneria Gestionale,No,Assolutamente si,Si,"Credo fermamente che la cultura e la conoscenza vada per prima cosa condivisa in modo da raggiungere più persone possibili che possano portare, con la loro individualità, a nuovi progressi e scoperte.",Si,Forum,Si,"Libri, Pc, Smartphone",Che sia gratuito,,
13/12/2018 0.39.22,Ingegneria,Si,Assolutamente si,Si,Solidarietà,Si,Forum,Si,Libri,Che prendo tutti 18,,
13/12/2018 0.41.36,Ingegneria clinica,No,Più si che no,Non saprei,Ingegneria è molto difficile,No,Chat,Si,"Libri, Pc",Che sia discreto oltre che utile,,
13/12/2018 0.43.50,Ingegneria informatica,Si,Assolutamente si,Si,La cooperazione tra studenti é importante,Non saprei,Chat,Si,"Libri, Pc",Tanta roba,,
13/12/2018 1.07.44,Farmacia ,Si,Assolutamente si,Si,Permettere di stare al passo più facilmente con lo studio ,Si,Chat,Si,"Libri, Pc, Smartphone",Rispetto dei tempi di pubblicazione del materiale,,
13/12/2018 1.16.39,SFA,Si,Assolutamente si,Si,Altruismo,Si,Chat,Si,Libri,Efficienza ,,
13/12/2018 1.30.38,"Ingegneria dell'informazione, informatica e statistica",No,Assolutamente si,Si,"Il rispondere ""stanno sul solito drive"" senza dover ogni volta stare li a inviare foto",No,Forum,No,"Libri, Pc",Ordine,,
13/12/2018 1.33.25,Ingegneria gestionale,No,Più si che no,Si,Boh ,Si,Chat,Non saprei,"Libri, Pc",BOH ,,
13/12/2018 1.40.17,Ingegneria gestionale ,Si,Assolutamente si,Si,La possibilità di scambiarli e averli in caso di bisogno o per eventuali chiarimenti su parti a me poco chiare,Si,Forum,Si,"Libri, Pc, Smartphone",Un grande aiuto per tutti,,
13/12/2018 2.04.35,Scienze dell'educazione e della formazione ,Si,Assolutamente si,Si,Aiutare gli altri in un momento di difficoltà ,Non saprei,Chat,Si,Libri,Mi aspetto solidarietà e aiuto da parte di tutti e per tutti ,,
13/12/2018 2.13.45,Ingegneria gestionale ,Si,Assolutamente si,Si,Il sapere è di tutti,Si,Forum,Non saprei,"Libri, Pc",Appunti gratis e di buona qualità e soprattutto inerenti al corso. ,,
13/12/2018 2.22.50,Sapienza Ingegneria Gestionale,Si,Assolutamente si,Si,Riceverli a mia volta,Si,Chat,Si,"Libri, Pc",Scambio di appunti tra gli studenti e un confronto per chiarirsi dubbi ecc ,,
13/12/2018 6.01.43,Ingegneria informatica ,No,Assolutamente si,No,Soldi,No,Forum,Non saprei,"Libri, Pc, Smartphone","Appunti chiari, anche a pagamento e un servizio di assistenza ",,
13/12/2018 6.36.46,Ingegneria,No,Più si che no,Non saprei,I miei appunti non sono comprensibili,Si,Forum,Non saprei,Pc,Che non vada in crash ogni 5 minuti,,
13/12/2018 6.58.24,farmacia,Si,Assolutamente si,Si,poter aiutare gli altri,Si,Chat,Si,Libri,un aiuto in più ,,
13/12/2018 7.06.26,Medicina,No,Assolutamente si,Si,Unione tra studenti ,Si,Chat,Si,Libri,Che funzioni,,
13/12/2018 7.10.24,Ingegneria informatica,No,Assolutamente si,Non saprei,La voglia di aiutare gli altri,Si,Chat,Non saprei,Pc,Un'applicazione dove poter prendere appunti di qualsiasi facoltà,,
13/12/2018 7.11.21,Ingegneria di Internet,No,Assolutamente si,Si,Condivisione della cultura ,Si,Chat,Non saprei,"Pc, Smartphone",Rapidità e funzionalità,,
13/12/2018 7.27.10,Farmacia,Si,Assolutamente si,Si,Riuscirei a studiare molto più velocemente,Si,Forum,Si,"Libri, Tablet",Appunti ben fatti e che non li debba ricontrollare ,,
13/12/2018 7.28.20,Ingegneria Meccanica ,Si,Assolutamente si,Si,Aiutare chi sta messo come me,Si,Chat,Si,"Libri, Pc",La facilità di uso ,,
13/12/2018 7.28.58,Farmacia,Si,Assolutamente si,Si,.,Si,Chat,Si,Pc,.,,
13/12/2018 7.37.54,Ingegnerka,Si,Assolutamente si,Si,Il fatto di spingere così altre persone a pubblicare i propri e aiutarci a vicenda,Si,Chat,Si,"Libri, Pc",Quello che promette,,
13/12/2018 7.45.57,Facoltà di scienze del'educazione,No,Più si che no,Non saprei,La consapevolezza di essere utile.,Si,Forum,Si,"Libri, Pc",Un'ottima funzionalità.,,
13/12/2018 7.53.29,Ingegneria unibs,Si,Assolutamente si,Si,Pensare che gli altri lo facciano,Si,Chat,No,Libri,Efficienza ,,
13/12/2018 7.57.38,Ingegneria industriale,No,Assolutamente si,Non saprei,La sicurezza che i miei dati vengano trattati con rispetto,Si,Chat,Si,"Libri, Pc","Precisione, sicurezza, velocità e serietà.",,
13/12/2018 7.59.06,Ingegneria Civile,No,Assolutamente si,Non saprei,Io aiuto te tu aiuti me.,Si,Chat,Si,"Libri, Smartphone",Vari esercizi spiegati passo per passo.,,
13/12/2018 8.00.05,Università degli studi di Genova,No,Assolutamente si,Non saprei,"Dipende molto da come vengono organizzati gli appunti..se si vuoi condividerli dovrebbero essere ordinati e precisi, perciò potrebbe essere anche contro producente sia da parte di chi dovrà pubblicarli perché li deve organizzare e da parte di chi li riceve perché dovrà visionare più materiale (oltre al suo intendo)",Si,Chat,Si,"Libri, Pc",Una buona suddivisione del materiale per materie e sotto argomenti,,
13/12/2018 8.03.39,Ingegneria informatica,No,Più no che si,Si,il sapere è di tutti,No,Non lo farei,Non saprei,"Libri, Pc, Smartphone",un rigido controllo sulla validità dei contenuti postati ,,
13/12/2018 8.06.18,Organizzazione e marketing per la comunicazione d’impresa,No,Assolutamente si,Si,Che anche gli altri potessero farlo,Si,Forum,Si,"Libri, Pc",Efficienza ,,
13/12/2018 8.11.36,Medicina ,No,Assolutamente si,Si,"Aiutare, anche se poco, chi ha difficoltà nel prendere appunti ",Si,Forum,Si,"Libri, Pc","Efficienza e serietà. Ordine nel caricare appunti e suddivisione in finestre per facoltà, e successivamente un’ulteriore suddivisione per argomento (o perché no anche per professore)",,
13/12/2018 8.12.01,"Scienze politiche, sociologia e comunicazione",No,Più si che no,No,Non lo farei,Si,Chat,Si,Libri,Efficienza ,,
13/12/2018 8.12.11,Medicina ,Si,Assolutamente si,Si,Condivisione,Si,Chat,Si,"Libri, Pc",Che sia funzionale ,,
13/12/2018 8.19.25,Farmacia ,Si,Assolutamente si,Non saprei,Un aiuto reciproco,Non saprei,Chat,Non saprei,Libri,Che gli appunti siano corretti,,
13/12/2018 8.19.27,Ingegneria Matematica,Si,Assolutamente si,Si,Sperare che per gli altri sia meno difficile che per.me,Si,Chat,Si,"Libri, Pc, Tablet",Open source,,
13/12/2018 8.33.39,Medicina,No,Assolutamente si,Non saprei,Il fatto che mi potrebbe risultare utile per appunti che potrebbero servirmi,Non saprei,Chat,Si,Libri,Una maggiore chiarezza degli argomenti da studiare per gli esami,,
13/12/2018 8.39.54,Ingegneria informatica ,Si,Più si che no,Non saprei,Non saprei ,Si,Forum,Si,"Libri, Pc",Agevolazione nello studio e nella preparazione agli esami ,,
13/12/2018 8.46.47,Ingegneria informatica,Si,Assolutamente si,Si,La condivisione,Si,Forum,Si,Libri,Semplicità,,
13/12/2018 8.47.12,Comunicazione,No,Più si che no,Non saprei,Non saprei,Non saprei,Chat,Non saprei,Libri,Non saprei,,
13/12/2018 8.50.56,Ingegneria informatica,No,Assolutamente si,Si,"Credo sia importantissima la condivisione delle informazioni e delle conoscenze in ogni ambito, senza condivisione non c'è progresso ^^",Non saprei,Forum,Si,"Libri, Pc","Che sia finalmente un mezzo universale gratuito per condividere gli appunti, e che non ci siano più mille piattaforme diverse e mille gruppi (tra i quali ci si perde sempre qualcosa)",,
13/12/2018 9.03.53,Medicina,No,Assolutamente si,Si,"Se non lo facessi, probabile mi sembrerebbe di sfruttare il lavoro degli altri studenti.",Si,Chat,Non saprei,"Libri, Pc, Smartphone",Un servizio di moderazione e controllo degli appunti (stile Wikipedia),Opzione 1,
13/12/2018 9.04.28,Psicologia,No,Assolutamente si,Si,Spirito di gruppo,Si,Non lo farei,Non saprei,Libri,Puntualità ,"Whatsapp, Dropbox, drive ","Whatsapp non è gestibile per 265 persone che parlano contemporanemante, trovo la messaggistica istantanea dispersiva in questi casi. Dropbox e drive se ben gestiti sono utili."
13/12/2018 9.04.40,LCLT,No,Assolutamente si,Non saprei,Se gli altri ricambiassero,Si,Chat,Si,"Libri, Pc",Più facilità e organizzazione nello studio,No,No
13/12/2018 9.09.47,Lettere e Filosofia,Si,Assolutamente si,Si,Aiuto reciproco,Si,Chat,Si,Libri,Efficienza,gruppi whatsapp,
